[rank 10] 	COMPRESSION TIME: 0.07001495361328125 
[rank 25] 	COMPRESSION TIME: 0.1978013515472412 
[rank 29] 	COMPRESSION TIME: 0.24399280548095703 
[rank 18] 	COMPRESSION TIME: 0.15812945365905762 
[rank 14] 	COMPRESSION TIME: 0.03749561309814453 
[rank 23] 	COMPRESSION TIME: 0.24789834022521973 
[rank 11] 	COMPRESSION TIME: 0.26189541816711426 
[rank 21] 	COMPRESSION TIME: 0.20113182067871094 
[rank 20] 	COMPRESSION TIME: 0.06835055351257324 
[rank 23] 	COMPRESSION TIME: 0.23250436782836914 
[rank 15] 	COMPRESSION TIME: 0.2684745788574219 
[rank 4] 	COMPRESSION TIME: 0.07684922218322754 
[rank 18] 	COMPRESSION TIME: 0.2516214847564697 
[rank 0] 	COMPRESSION TIME: 0.14777326583862305 
[rank 9] 	COMPRESSION TIME: 0.27843213081359863 
[rank 26] 	COMPRESSION TIME: 0.07950615882873535 
[rank 12] 	COMPRESSION TIME: 0.17189288139343262 
[rank 31] 	COMPRESSION TIME: 0.2806971073150635 
[rank 22] 	COMPRESSION TIME: 0.04574775695800781 
[rank 7] 	COMPRESSION TIME: 0.2552521228790283 
[rank 17] 	COMPRESSION TIME: 0.22889971733093262 
[rank 1] 	COMPRESSION TIME: 0.1795487403869629 
[rank 11] 	COMPRESSION TIME: 0.29664158821105957 
[rank 25] 	COMPRESSION TIME: 0.27727437019348145 
[rank 13] 	COMPRESSION TIME: 0.2675046920776367 
[rank 29] 	COMPRESSION TIME: 0.2716679573059082 
[rank 6] 	COMPRESSION TIME: 0.16067123413085938 
[rank 19] 	COMPRESSION TIME: 0.24117255210876465 
[rank 3] 	COMPRESSION TIME: 0.21381545066833496 
[rank 8] 	COMPRESSION TIME: 0.15099263191223145 
[rank 27] 	COMPRESSION TIME: 0.18026018142700195 
[rank 14] 	COMPRESSION TIME: 0.2621426582336426 
[rank 28] 	COMPRESSION TIME: 0.20451569557189941 
[rank 5] 	COMPRESSION TIME: 0.24020838737487793 
[rank 16] 	COMPRESSION TIME: 0.25363802909851074 
[rank 2] 	COMPRESSION TIME: 0.18925166130065918 
[rank 10] 	COMPRESSION TIME: 0.17662668228149414 
[rank 24] 	COMPRESSION TIME: 0.02642965316772461 
[rank 30] 	COMPRESSION TIME: 0.19435453414916992 
[rank 29] 	COMPRESSION TIME: 0.004327058792114258 
[rank 31] 	COMPRESSION TIME: 0.0044324398040771484 
[rank 30] 	COMPRESSION TIME: 0.003038644790649414 
[rank 28] 	COMPRESSION TIME: 0.0031037330627441406 
[rank 16] 	COMPRESSION TIME: 0.004036664962768555 
[rank 5] 	COMPRESSION TIME: 0.002884387969970703 
[rank 27] 	COMPRESSION TIME: 0.003210783004760742 
[rank 13] 	COMPRESSION TIME: 0.0030982494354248047 
[rank 9] 	COMPRESSION TIME: 0.002771139144897461 
[rank 2] 	COMPRESSION TIME: 0.004296541213989258 
[rank 22] 	COMPRESSION TIME: 0.002994060516357422 
[rank 18] 	COMPRESSION TIME: 0.004107475280761719 
[rank 4] 	COMPRESSION TIME: 0.0024657249450683594 
[rank 26] 	COMPRESSION TIME: 0.0031194686889648438 
[rank 14] 	COMPRESSION TIME: 0.004060983657836914 
[rank 11] 	COMPRESSION TIME: 0.002722501754760742 
[rank 0] 	COMPRESSION TIME: 0.003772735595703125 
[rank 20] 	COMPRESSION TIME: 0.002969503402709961 
[rank 19] 	COMPRESSION TIME: 0.0031020641326904297 
[rank 7] 	COMPRESSION TIME: 0.0040073394775390625 
[rank 25] 	COMPRESSION TIME: 0.0038225650787353516 
[rank 12] 	COMPRESSION TIME: 0.004268646240234375 
[rank 8] 	COMPRESSION TIME: 0.0032825469970703125 
[rank 3] 	COMPRESSION TIME: 0.002979755401611328 
[rank 23] 	COMPRESSION TIME: 0.0029876232147216797 
[rank 17] 	COMPRESSION TIME: 0.00396728515625 
[rank 6] 	COMPRESSION TIME: 0.0025014877319335938 
[rank 24] 	COMPRESSION TIME: 0.0032095909118652344 
[rank 15] 	COMPRESSION TIME: 0.0033102035522460938 
[rank 10] 	COMPRESSION TIME: 0.002851247787475586 
[rank 1] 	COMPRESSION TIME: 0.004091739654541016 
[rank 21] 	COMPRESSION TIME: 0.004081010818481445 
[rank 21] 	COMPRESSION TIME: 0.002885103225708008 
[rank 20] 	COMPRESSION TIME: 0.002883434295654297 
[rank 23] 	COMPRESSION TIME: 0.003001689910888672 
[rank 22] 	COMPRESSION TIME: 0.0029447078704833984 
[rank 13] 	COMPRESSION TIME: 0.002836942672729492 
[rank 25] 	COMPRESSION TIME: 0.002880573272705078 
[rank 16] 	COMPRESSION TIME: 0.002833127975463867 
[rank 29] 	COMPRESSION TIME: 0.0029015541076660156 
[rank 5] 	COMPRESSION TIME: 0.0029265880584716797 
[rank 3] 	COMPRESSION TIME: 0.0029091835021972656 
[rank 9] 	COMPRESSION TIME: 0.0028803348541259766 
[rank 12] 	COMPRESSION TIME: 0.002874612808227539 
[rank 27] 	COMPRESSION TIME: 0.0029449462890625 
[rank 18] 	COMPRESSION TIME: 0.002911806106567383 
[rank 28] 	COMPRESSION TIME: 0.0029878616333007812 
[rank 4] 	COMPRESSION TIME: 0.002923727035522461 
[rank 1] 	COMPRESSION TIME: 0.002924203872680664 
[rank 11] 	COMPRESSION TIME: 0.0028908252716064453 
[rank 14] 	COMPRESSION TIME: 0.003038644790649414 
[rank 26] 	COMPRESSION TIME: 0.0029494762420654297 
[rank 17] 	COMPRESSION TIME: 0.0028421878814697266 
[rank 31] 	COMPRESSION TIME: 0.0030624866485595703 
[rank 7] 	COMPRESSION TIME: 0.002913236618041992 
[rank 0] 	COMPRESSION TIME: 0.0029315948486328125 
[rank 8] 	COMPRESSION TIME: 0.0029044151306152344 
[rank 15] 	COMPRESSION TIME: 0.00305938720703125 
[rank 24] 	COMPRESSION TIME: 0.0029599666595458984 
[rank 19] 	COMPRESSION TIME: 0.002950906753540039 
[rank 30] 	COMPRESSION TIME: 0.0029604434967041016 
[rank 6] 	COMPRESSION TIME: 0.002954721450805664 
[rank 2] 	COMPRESSION TIME: 0.002930879592895508 
[rank 10] 	COMPRESSION TIME: 0.002950906753540039 
[rank 9] 	COMPRESSION TIME: 0.002217531204223633 
[rank 11] 	COMPRESSION TIME: 0.0022344589233398438 
[rank 8] 	COMPRESSION TIME: 0.0022287368774414062 
[rank 10] 	COMPRESSION TIME: 0.0023260116577148438 
[rank 13] 	COMPRESSION TIME: 0.002179384231567383 
[rank 5] 	COMPRESSION TIME: 0.0021724700927734375 
[rank 25] 	COMPRESSION TIME: 0.0022203922271728516 
[rank 29] 	COMPRESSION TIME: 0.002247333526611328 
[rank 21] 	COMPRESSION TIME: 0.0023038387298583984 
[rank 3] 	COMPRESSION TIME: 0.0022428035736083984 
[rank 16] 	COMPRESSION TIME: 0.002265453338623047 
[rank 15] 	COMPRESSION TIME: 0.0023419857025146484 
[rank 7] 	COMPRESSION TIME: 0.0022420883178710938 
[rank 27] 	COMPRESSION TIME: 0.002281665802001953 
[rank 31] 	COMPRESSION TIME: 0.00225830078125 
[rank 20] 	COMPRESSION TIME: 0.002251148223876953 
[rank 0] 	COMPRESSION TIME: 0.0022292137145996094 
